Provinsi,R502a_pju_surya_2024,R502a_pju_surya_2024_no,R502a_pju_surya_2024_total,R502a_pju_surya_2021,R502a_pju_surya_2021_no,R502a_pju_surya_2021_total,R502a_pju_surya_2024_pct,R502a_pju_surya_2021_pct,R501c_keluarga_surya_2024,R501c_keluarga_surya_2024_no,R501c_keluarga_surya_2024_total,R501c_keluarga_surya_2021,R501c_keluarga_surya_2021_no,R501c_keluarga_surya_2021_total,R501c_keluarga_surya_2024_pct,R501c_keluarga_surya_2021_pct,R503a6_bioenergi_2024,R503a6_bioenergi_2024_no,R503a6_bioenergi_2024_total,R503a6_bioenergi_2021,R503a6_bioenergi_2021_no,R503a6_bioenergi_2021_total,R503a6_bioenergi_2024_pct,R503a6_bioenergi_2021_pct,R510_air_2024,R510_air_2024_no,R510_air_2024_total,R510_air_2021,R510_air_2021_no,R510_air_2021_total,R510_air_2024_pct,R510_air_2021_pct,R511_potensi_air_2024,R511_potensi_air_2024_no,R511_potensi_air_2024_total,R511_potensi_air_2021,R511_potensi_air_2021_no,R511_potensi_air_2021_total,R511_potensi_air_2024_pct,R511_potensi_air_2021_pct,tambang_2024,tambang_2024_no,tambang_2024_total,tambang_2021,tambang_2021_no,tambang_2021_total,tambang_2024_pct,tambang_2021_pct,R501a2_non_pln_2024,R501a2_non_pln_2024_total,R501a2_non_pln_2024_no,R501a2_non_pln_2021,R501a2_non_pln_2021_no,R501a2_non_pln_2021_total,R501a2_non_pln_2024_pct,R501a2_non_pln_2021_pct,R1503a_infra_2024,R1503a_infra_2024_total,R1503a_infra_2024_no,R1503a_infra_2021,R1503a_infra_2021_no,R1503a_infra_2021_total,R1503a_infra_2024_pct,R1503a_infra_2021_pct,R1403g_potensi_air_2024,R1403g_potensi_air_2024_no,R1403g_potensi_air_2024_total,R1403g_potensi_air_2021,R1403g_potensi_air_2021_no,R1403g_potensi_air_2021_total,R1403g_potensi_air_2024_pct,R1403g_potensi_air_2021_pct,R514_polusi_air_2024,R514_polusi_air_2024_no,R514_polusi_air_2024_total,R514_polusi_air_2021,R514_polusi_air_2021_no,R514_polusi_air_2021_total,R514_polusi_air_2024_pct,R514_polusi_air_2021_pct,R1504a_program_ebt_2024,R1504a_program_ebt_2024_total,R1504a_program_ebt_2024_no,R1504a_program_ebt_2021,R1504a_program_ebt_2021_no,R1504a_program_ebt_2021_total,R1504a_program_ebt_2024_pct,R1504a_program_ebt_2021_pct,R501b_tanpa_listrik_2024,R501b_tanpa_listrik_2024_total,R501b_tanpa_listrik_2024_no,R501b_tanpa_listrik_2021,R501b_tanpa_listrik_2021_no,R501b_tanpa_listrik_2021_total,R501b_tanpa_listrik_2024_pct,R501b_tanpa_listrik_2021_pct,R502a_pju_surya_growth,R501c_keluarga_surya_growth,R503a6_bioenergi_growth,R510_air_growth,tambang_growth,R501a2_non_pln_growth,R1503a_infra_growth,R1403g_potensi_air_growth,R514_polusi_air_growth,R1504a_program_ebt_growth,R501b_tanpa_listrik_growth,risk_no_electricity,risk_non_pln,risk_no_program,risk_no_infra,risk_pollution,risk_no_electricity_norm,risk_non_pln_norm,risk_no_program_norm,risk_no_infra_norm,risk_pollution_norm,ike_score
KEPULAUAN RIAU,204.0,226.0,430.0,195.0,233.0,428.0,47.44,45.56,8.0,31.0,391.0,430.0,6.0,49.0,2.05,877.55,3.0,427.0,430.0,3.0,425.0,428.0,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,16.0,37.0,37.0,114.0,14.0,410.81,264.29,147.0,283.0,430.0,124.0,304.0,428.0,34.19,28.97,7875.0,16048.0,8173.0,0.0,0.0,0.0,49.07,0.0,43.0,430.0,387.0,0,0,0,10.0,0.0,144.0,138.0,148.0,430.0,142.0,132.0,97.3,325.76,23.0,407.0,430.0,16.0,412.0,428.0,5.35,3.74,33.0,430.0,397.0,0,0,0,7.67,0.0,930.0,1828.0,898.0,0.0,0.0,0.0,50.88,0.0,4.62,-98.14,0.0,0.0,18.55,787500.0,4300.0,-66.51,43.75,3300.0,93000.0,50.88,49.07,92.33,90.0,5.35,3.229184516669523e-06,4.192440449745395e-06,0.44660894660894646,0.6620479891855356,0.14750482492417974,25.12
LAMPUNG,906.0,1751.0,2657.0,619.0,2035.0,2654.0,34.1,23.32,24.0,189.0,2444.0,2657.0,35.0,186.0,0.98,1428.49,15.0,2642.0,2657.0,28.0,2626.0,2654.0,0.56,1.06,57.0,1.0,2.0,0.0,68.0,3.0,2850.0,0.0,2162.0,1108.0,147.0,720.0,2122.0,1096.0,1470.75,65.69,439.0,2218.0,2657.0,498.0,2156.0,2654.0,16.52,18.76,20621.0,36143.0,15522.0,0.0,0.0,0.0,57.05,0.0,199.0,2657.0,2458.0,0,0,0,7.49,0.0,205.0,362.0,2090.0,2657.0,205.0,388.0,9.81,684.79,286.0,2371.0,2657.0,308.0,2346.0,2654.0,10.76,11.61,158.0,2657.0,2499.0,0,0,0,5.95,0.0,2865.0,6358.0,3493.0,0.0,0.0,0.0,45.06,0.0,46.37,-99.1,-46.43,5700.0,-11.85,2062100.0,19900.0,-92.28,-7.14,15800.0,286500.0,45.06,57.05,94.05,92.51,10.76,2.8598084575693533e-06,4.8742353303031335e-06,0.5707070707070705,0.7468739438999664,0.29666390956713534,32.29
MALUKU,780.0,482.0,1262.0,696.0,552.0,1248.0,61.81,55.77,121.0,151.0,990.0,1262.0,130.0,128.0,12.22,985.94,1.0,1261.0,1262.0,1.0,1247.0,1248.0,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,612.0,53.0,40.0,92.0,601.0,52.0,1530.0,176.92,514.0,748.0,1262.0,601.0,647.0,1248.0,40.73,48.16,21515.0,31682.0,10167.0,0.0,0.0,0.0,67.91,0.0,125.0,1262.0,1137.0,0,0,0,9.9,0.0,35.0,638.0,589.0,1262.0,35.0,610.0,5.94,206.89,57.0,1205.0,1262.0,53.0,1195.0,1248.0,4.52,4.25,51.0,1262.0,1211.0,0,0,0,4.04,0.0,14649.0,27249.0,12600.0,0.0,0.0,0.0,53.76,0.0,12.07,-90.41,0.0,0.0,-14.48,2151500.0,12500.0,-97.23,7.55,5100.0,1464900.0,53.76,67.91,95.96,90.1,4.52,3.4119685459149674e-06,5.80209152113735e-06,0.7085137085137081,0.6654275092936801,0.12462089881444718,29.97
MALUKU UTARA,735.0,474.0,1209.0,666.0,537.0,1203.0,60.79,55.36,79.0,123.0,1007.0,1209.0,106.0,121.0,7.85,999.17,1.0,1208.0,1209.0,2.0,1201.0,1203.0,0.08,0.17,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,844.0,68.0,54.0,41.0,826.0,73.0,1562.96,56.16,435.0,774.0,1209.0,421.0,782.0,1203.0,35.98,35.0,22022.0,31742.0,9720.0,0.0,0.0,0.0,69.38,0.0,122.0,1209.0,1087.0,0,0,0,10.09,0.0,118.0,453.0,638.0,1209.0,118.0,429.0,18.5,281.82,72.0,1137.0,1209.0,71.0,1132.0,1203.0,5.96,5.9,62.0,1209.0,1147.0,0,0,0,5.13,0.0,5374.0,10654.0,5280.0,0.0,0.0,0.0,50.44,0.0,10.36,-93.47,-50.0,0.0,3.33,2202200.0,12200.0,-90.24,1.41,6200.0,537400.0,50.44,69.38,94.87,89.91,5.96,3.201259178868135e-06,5.927685314924302e-06,0.6298701298701301,0.6590064210882054,0.16432313206506755,29.06
NUSA TENGGARA BARAT,376.0,790.0,1166.0,283.0,868.0,1151.0,32.25,24.59,10.0,45.0,1111.0,1166.0,18.0,47.0,0.9,2480.85,4.0,1162.0,1166.0,20.0,1131.0,1151.0,0.34,1.74,9.0,0.0,2.0,2.0,12.0,1.0,450.0,200.0,1047.0,978.0,173.0,400.0,1042.0,966.0,605.2,41.41,399.0,767.0,1166.0,416.0,735.0,1151.0,34.22,36.14,5074.0,5533.0,459.0,0.0,0.0,0.0,91.7,0.0,99.0,1166.0,1067.0,0,0,0,8.49,0.0,145.0,451.0,570.0,1166.0,145.0,404.0,25.44,288.61,249.0,917.0,1166.0,152.0,999.0,1151.0,21.36,13.21,79.0,1166.0,1087.0,0,0,0,6.78,0.0,361.0,1007.0,646.0,0.0,0.0,0.0,35.85,0.0,32.86,-99.14,-80.0,350.0,-4.09,507400.0,9900.0,-87.56,63.82,7900.0,36100.0,35.85,91.7,93.22,91.51,21.36,2.2752803640448584e-06,7.834660469567e-06,0.5108225108225107,0.71307874281852,0.5889164598842017,36.26
NUSA TENGGARA TIMUR,869.0,2669.0,3538.0,682.0,2768.0,3450.0,24.56,19.77,301.0,937.0,2300.0,3538.0,451.0,939.0,13.09,376.78,14.0,3524.0,3538.0,13.0,3437.0,3450.0,0.4,0.38,14.0,3.0,2.0,0.0,31.0,5.0,700.0,0.0,2292.0,1189.0,335.0,1162.0,2211.0,1179.0,684.18,98.56,1270.0,2268.0,3538.0,1142.0,2308.0,3450.0,35.9,33.1,109203.0,161381.0,52178.0,0.0,0.0,0.0,67.67,0.0,502.0,3538.0,3036.0,0,0,0,14.19,0.0,305.0,1660.0,1573.0,3538.0,305.0,1463.0,19.39,241.83,74.0,3464.0,3538.0,79.0,3371.0,3450.0,2.09,2.29,208.0,3538.0,3330.0,0,0,0,5.88,0.0,86822.0,169250.0,82428.0,0.0,0.0,0.0,51.3,0.0,27.42,-91.49,7.69,1400.0,11.21,10920300.0,50200.0,-91.38,-6.33,20800.0,8682200.0,51.3,67.67,94.12,85.81,2.09,3.255840520934483e-06,5.781586411947644e-06,0.575757575757576,0.5204460966542752,0.057623380204025354,23.08
PAPUA,94.0,935.0,1029.0,310.0,5245.0,5555.0,9.14,5.58,55.0,137.0,837.0,1029.0,1488.0,1713.0,6.57,60.07,0.0,1029.0,1029.0,5.0,5550.0,5555.0,0.0,0.09,5.0,0.0,0.0,0.0,38.0,5.0,500.0,0.0,604.0,17.0,34.0,11.0,3950.0,82.0,1776.47,13.41,241.0,788.0,1029.0,572.0,4983.0,5555.0,23.42,10.3,13827.0,294793.0,280966.0,0.0,0.0,0.0,4.69,0.0,54.0,1029.0,975.0,0,0,0,5.25,0.0,51.0,203.0,775.0,1029.0,102.0,827.0,6.58,124.43,81.0,948.0,1029.0,292.0,5263.0,5555.0,7.87,5.26,44.0,1029.0,985.0,0,0,0,4.28,0.0,16681.0,413483.0,396802.0,0.0,0.0,0.0,4.03,0.0,-69.68,-94.66,-100.0,500.0,-57.87,1382700.0,5400.0,-95.04,-72.26,4400.0,1668100.0,4.03,4.69,95.72,94.75,7.87,2.557707075899799e-07,4.007040087488466e-07,0.6911976911976911,0.8225751943224062,0.21698373311276536,34.62
PAPUA BARAT,347.0,623.0,970.0,443.0,1543.0,1986.0,35.77,22.31,74.0,173.0,723.0,970.0,191.0,343.0,10.24,282.8,1.0,969.0,970.0,1.0,1985.0,1986.0,0.1,0.05,2.0,0.0,0.0,0.0,15.0,0.0,200.0,0.0,670.0,37.0,31.0,10.0,1332.0,54.0,2161.29,18.52,174.0,796.0,970.0,427.0,1559.0,1986.0,17.94,21.5,20226.0,44967.0,24741.0,0.0,0.0,0.0,44.98,0.0,59.0,970.0,911.0,0,0,0,6.08,0.0,21.0,385.0,564.0,970.0,95.0,584.0,3.72,166.1,21.0,949.0,970.0,39.0,1947.0,1986.0,2.16,1.96,22.0,970.0,948.0,0,0,0,2.27,0.0,11734.0,18801.0,7067.0,0.0,0.0,0.0,62.41,0.0,-21.67,-92.37,0.0,200.0,-59.25,2022600.0,5900.0,-97.84,-46.15,2200.0,1173400.0,62.41,44.98,97.73,93.92,2.16,3.960955300419514e-06,3.842999213970814e-06,0.8362193362193365,0.7945251774248058,0.05955334987593052,33.81
PAPUA BARAT DAYA,204.0,852.0,1056.0,0.0,0.0,0.0,19.32,0.0,59.0,129.0,868.0,1056.0,0.0,0.0,6.8,105600.0,1.0,1055.0,1056.0,0.0,0.0,0.0,0.09,0.0,7.0,0.0,1.0,0.0,0.0,0.0,700.0,0.0,719.0,17.0,47.0,14.0,0.0,0.0,1529.79,1400.0,233.0,823.0,1056.0,0.0,0.0,0.0,22.06,0.0,16640.0,0.0,0.0,0.0,0.0,0.0,1664000.0,0.0,43.0,1056.0,1013.0,0,0,0,4.07,0.0,74.0,263.0,719.0,1056.0,0.0,0.0,10.29,105600.0,62.0,994.0,1056.0,0.0,0.0,0.0,5.87,0.0,16.0,1056.0,1040.0,0,0,0,1.52,0.0,4524.0,0.0,0.0,0.0,0.0,0.0,452400.0,0.0,20400.0,-94.41,100.0,700.0,23300.0,1664000.0,4300.0,-92.99,6200.0,1600.0,452400.0,452400.0,1664000.0,98.48,95.93,5.87,0.028712324593971935,0.14216875704863127,0.8903318903318906,0.8624535315985132,0.16184174248690378,41.71
PAPUA PEGUNUNGAN,64.0,2570.0,2634.0,0.0,0.0,0.0,2.43,0.0,648.0,996.0,990.0,2634.0,0.0,0.0,65.45,263400.0,0.0,2634.0,2634.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,600.0,0.0,2142.0,6.0,5.0,1.0,0.0,0.0,42840.0,100.0,69.0,2565.0,2634.0,0.0,0.0,0.0,2.62,0.0,80956.0,0.0,0.0,0.0,0.0,0.0,8095600.0,0.0,12.0,2634.0,2622.0,0,0,0,0.46,0.0,10.0,331.0,2293.0,2634.0,0.0,0.0,0.44,263400.0,7.0,2627.0,2634.0,0.0,0.0,0.0,0.27,0.0,5.0,2634.0,2629.0,0,0,0,0.19,0.0,157563.0,0.0,0.0,0.0,0.0,0.0,15756300.0,0.0,6400.0,-75.4,0.0,600.0,6900.0,8095600.0,1200.0,-99.62,700.0,500.0,15756300.0,15756300.0,8095600.0,99.81,99.54,0.27,1.0,0.6916715081507809,0.9862914862914864,0.9844542075025349,0.007444168734491315,73.4
PAPUA SELATAN,79.0,611.0,690.0,0.0,0.0,0.0,11.45,0.0,59.0,124.0,507.0,690.0,0.0,0.0,11.64,69000.0,0.0,690.0,690.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,589.0,42.0,17.0,61.0,0.0,0.0,3464.71,6100.0,103.0,587.0,690.0,0.0,0.0,0.0,14.93,0.0,25977.0,0.0,0.0,0.0,0.0,0.0,2597700.0,0.0,8.0,690.0,682.0,0,0,0,1.16,0.0,13.0,26.0,651.0,690.0,0.0,0.0,2.0,69000.0,20.0,670.0,690.0,0.0,0.0,0.0,2.9,0.0,3.0,690.0,687.0,0,0,0,0.43,0.0,40298.0,0.0,0.0,0.0,0.0,0.0,4029800.0,0.0,7900.0,-91.45,0.0,100.0,10300.0,2597700.0,800.0,-98.12,2000.0,300.0,4029800.0,4029800.0,2597700.0,99.57,98.84,2.9,0.25575801425461564,0.22194217559208504,0.9689754689754685,0.9607975667455223,0.0799558864074993,49.75
PAPUA TENGAH,107.0,1101.0,1208.0,0.0,0.0,0.0,8.86,0.0,298.0,281.0,629.0,1208.0,0.0,0.0,47.38,120800.0,9.0,1199.0,1208.0,0.0,0.0,0.0,0.75,0.0,16.0,5.0,3.0,0.0,0.0,0.0,533.33,0.0,1009.0,42.0,71.0,8.0,0.0,0.0,1421.13,800.0,115.0,1093.0,1208.0,0.0,0.0,0.0,9.52,0.0,117044.0,0.0,0.0,0.0,0.0,0.0,11704400.0,0.0,37.0,1208.0,1171.0,0,0,0,3.06,0.0,28.0,297.0,883.0,1208.0,0.0,0.0,3.17,120800.0,127.0,1081.0,1208.0,0.0,0.0,0.0,10.51,0.0,22.0,1208.0,1186.0,0,0,0,1.82,0.0,129220.0,0.0,0.0,0.0,0.0,0.0,12922000.0,0.0,10700.0,-75.33,900.0,1600.0,11500.0,11704400.0,3700.0,-97.68,12700.0,2200.0,12922000.0,12922000.0,11704400.0,98.18,96.94,10.51,0.8201163978852903,1.0,0.8686868686868692,0.8965866846907738,0.28977116073890263,77.5
RIAU,762.0,1108.0,1870.0,566.0,1310.0,1876.0,40.75,30.17,20.0,197.0,1653.0,1870.0,29.0,161.0,1.21,1161.49,7.0,1863.0,1870.0,9.0,1867.0,1876.0,0.37,0.48,5.0,0.0,6.0,0.0,6.0,0.0,83.33,0.0,1487.0,175.0,169.0,173.0,1477.0,186.0,879.88,93.01,211.0,1659.0,1870.0,224.0,1652.0,1876.0,11.28,11.94,56585.0,93814.0,37229.0,0.0,0.0,0.0,60.32,0.0,113.0,1870.0,1757.0,0,0,0,6.04,0.0,271.0,140.0,1459.0,1870.0,271.0,129.0,18.57,1449.61,248.0,1622.0,1870.0,250.0,1626.0,1876.0,13.26,13.33,94.0,1870.0,1776.0,0,0,0,5.03,0.0,15721.0,20662.0,4941.0,0.0,0.0,0.0,76.09,0.0,34.63,-98.93,-22.22,500.0,-5.8,5658500.0,11300.0,-85.51,-0.8,9400.0,1572100.0,76.09,60.32,94.97,93.96,13.26,4.8291794393353775e-06,5.153617443012884e-06,0.637085137085137,0.7958769854680634,0.3655913978494623,35.97
SULAWESI BARAT,259.0,391.0,650.0,267.0,383.0,650.0,39.85,41.08,8.0,130.0,512.0,650.0,15.0,122.0,1.56,532.79,0.0,650.0,650.0,0.0,650.0,650.0,0.0,0.0,97.0,35.0,3.0,1.0,122.0,35.0,3233.33,2.86,580.0,337.0,44.0,111.0,574.0,323.0,1318.18,34.37,213.0,437.0,650.0,186.0,464.0,650.0,32.77,28.62,18794.0,29042.0,10248.0,0.0,0.0,0.0,64.71,0.0,46.0,650.0,604.0,0,0,0,7.08,0.0,73.0,215.0,362.0,650.0,73.0,210.0,20.17,309.52,68.0,582.0,650.0,98.0,552.0,650.0,10.46,15.08,32.0,650.0,618.0,0,0,0,4.92,0.0,2386.0,5835.0,3449.0,0.0,0.0,0.0,40.89,0.0,-3.0,-98.77,0.0,9600.0,14.52,1879400.0,4600.0,-88.77,-30.61,3200.0,238600.0,40.89,64.71,95.08,92.92,10.46,2.5951524152243867e-06,5.528690065274597e-06,0.6450216450216448,0.7607299763433594,0.28839261097325614,33.88
SULAWESI SELATAN,1621.0,1439.0,3060.0,1346.0,1705.0,3051.0,52.97,44.12,67.0,352.0,2641.0,3060.0,57.0,362.0,2.54,845.3,28.0,3032.0,3060.0,54.0,2997.0,3051.0,0.92,1.77,103.0,39.0,19.0,3.0,113.0,33.0,542.11,9.09,2420.0,1808.0,281.0,927.0,2446.0,1664.0,861.21,55.71,585.0,2475.0,3060.0,601.0,2450.0,3051.0,19.12,19.7,50904.0,60649.0,9745.0,0.0,0.0,0.0,83.93,0.0,389.0,3060.0,2671.0,0,0,0,12.71,0.0,793.0,740.0,1527.0,3060.0,793.0,691.0,51.93,442.84,279.0,2781.0,3060.0,308.0,2743.0,3051.0,9.12,10.1,173.0,3060.0,2887.0,0,0,0,5.65,0.0,6318.0,11854.0,5536.0,0.0,0.0,0.0,53.3,0.0,20.43,-97.81,-48.15,3333.33,-2.66,5090400.0,38900.0,-74.08,-9.42,17300.0,631800.0,53.3,83.93,94.35,87.28999999999999,9.12,3.382773874577153e-06,7.1708075595502555e-06,0.592352092352092,0.5704629942548156,0.2514474772539288,28.29
SULAWESI TENGAH,994.0,1028.0,2022.0,820.0,1200.0,2020.0,49.16,40.59,69.0,366.0,1587.0,2022.0,85.0,340.0,4.35,594.71,1.0,2021.0,2022.0,7.0,2013.0,2020.0,0.05,0.35,47.0,2.0,0.0,0.0,45.0,2.0,4700.0,0.0,1554.0,675.0,136.0,152.0,1556.0,669.0,1142.65,22.72,777.0,1245.0,2022.0,772.0,1248.0,2020.0,38.43,38.22,35232.0,39002.0,3770.0,0.0,0.0,0.0,90.33,0.0,217.0,2022.0,1805.0,0,0,0,10.73,0.0,175.0,1080.0,767.0,2022.0,175.0,1007.0,22.82,200.79,130.0,1892.0,2022.0,126.0,1894.0,2020.0,6.43,6.24,142.0,2022.0,1880.0,0,0,0,7.02,0.0,12623.0,26391.0,13768.0,0.0,0.0,0.0,47.83,0.0,21.22,-96.59,-85.71,4700.0,0.65,3523200.0,21700.0,-91.35,3.17,14200.0,1262300.0,47.83,90.33,92.98,89.27,6.43,3.0356111523644508e-06,7.71761047127576e-06,0.4935064935064938,0.6373774923960797,0.177281499862145,26.16
SULAWESI TENGGARA,963.0,1329.0,2292.0,837.0,1472.0,2309.0,42.02,36.25,41.0,304.0,1947.0,2292.0,108.0,333.0,2.11,688.29,0.0,2292.0,2292.0,3.0,2306.0,2309.0,0.0,0.13,18.0,1.0,0.0,0.0,24.0,0.0,1800.0,0.0,1462.0,578.0,154.0,257.0,1459.0,557.0,949.35,46.14,841.0,1451.0,2292.0,827.0,1482.0,2309.0,36.69,35.82,21935.0,29437.0,7502.0,0.0,0.0,0.0,74.52,0.0,148.0,2292.0,2144.0,0,0,0,6.46,0.0,377.0,790.0,1125.0,2292.0,377.0,743.0,33.51,308.48,170.0,2122.0,2292.0,140.0,2169.0,2309.0,7.42,6.06,72.0,2292.0,2220.0,0,0,0,3.14,0.0,2964.0,7958.0,4994.0,0.0,0.0,0.0,37.25,0.0,15.05,-98.21,-100.0,1800.0,1.69,2193500.0,14800.0,-83.55,21.43,7200.0,296400.0,37.25,74.52,96.86,93.54,7.42,2.364133711594727e-06,6.366836403403848e-06,0.7734487734487734,0.7816830010138562,0.2045767852219465,35.19
SULAWESI UTARA,1032.0,806.0,1838.0,1013.0,827.0,1840.0,56.15,55.05,19.0,82.0,1737.0,1838.0,20.0,73.0,1.09,2517.81,2.0,1836.0,1838.0,9.0,1831.0,1840.0,0.11,0.49,10.0,0.0,1.0,0.0,10.0,0.0,1000.0,0.0,1329.0,532.0,120.0,100.0,1317.0,512.0,1107.5,19.53,380.0,1458.0,1838.0,392.0,1448.0,1840.0,20.67,21.3,2787.0,3391.0,604.0,0.0,0.0,0.0,82.19,0.0,219.0,1838.0,1619.0,0,0,0,11.92,0.0,332.0,827.0,679.0,1838.0,332.0,743.0,48.9,247.38,172.0,1666.0,1838.0,161.0,1679.0,1840.0,9.36,8.75,118.0,1838.0,1720.0,0,0,0,6.42,0.0,1951.0,2503.0,552.0,0.0,0.0,0.0,77.95,0.0,1.88,-98.97,-77.78,1000.0,-3.06,278700.0,21900.0,-81.94,6.83,11800.0,195100.0,77.95,82.19,93.58,88.08,9.36,4.94722745822306e-06,7.022145517924883e-06,0.5367965367965366,0.5971612031091584,0.2580645161290322,27.84
SUMATERA BARAT,398.0,888.0,1286.0,380.0,907.0,1287.0,30.95,29.53,11.0,75.0,1200.0,1286.0,23.0,64.0,0.92,2009.38,2.0,1284.0,1286.0,12.0,1275.0,1287.0,0.16,0.93,38.0,6.0,6.0,2.0,46.0,8.0,633.33,25.0,1131.0,961.0,112.0,240.0,1119.0,942.0,1009.82,25.48,473.0,813.0,1286.0,471.0,816.0,1287.0,36.78,36.6,12175.0,20339.0,8164.0,0.0,0.0,0.0,59.86,0.0,116.0,1286.0,1170.0,0,0,0,9.02,0.0,230.0,392.0,664.0,1286.0,230.0,378.0,34.64,340.21,238.0,1048.0,1286.0,193.0,1094.0,1287.0,18.51,15.0,68.0,1286.0,1218.0,0,0,0,5.29,0.0,10720.0,16322.0,5602.0,0.0,0.0,0.0,65.68,0.0,4.74,-99.14,-83.33,1800.0,0.42,1217500.0,11600.0,-82.12,23.32,6800.0,1072000.0,65.68,59.86,94.71,90.98,18.51,4.16849133362528e-06,5.1143159837326136e-06,0.6183261183261178,0.6951672862453533,0.5103391232423491,36.48
SUMATERA SELATAN,1618.0,1665.0,3283.0,1323.0,1969.0,3292.0,49.28,40.19,40.0,371.0,2872.0,3283.0,64.0,340.0,1.39,965.59,6.0,3277.0,3283.0,10.0,3282.0,3292.0,0.18,0.3,58.0,7.0,2.0,0.0,66.0,13.0,2900.0,0.0,2918.0,857.0,297.0,328.0,2902.0,878.0,982.49,37.36,546.0,2737.0,3283.0,559.0,2733.0,3292.0,16.63,16.98,113779.0,124196.0,10417.0,0.0,0.0,0.0,91.61,0.0,290.0,3283.0,2993.0,0,0,0,8.83,0.0,402.0,475.0,2406.0,3283.0,386.0,509.0,16.71,644.99,405.0,2878.0,3283.0,440.0,2852.0,3292.0,12.34,13.37,196.0,3283.0,3087.0,0,0,0,5.97,0.0,12268.0,25924.0,13656.0,0.0,0.0,0.0,47.32,0.0,22.3,-98.78,-40.0,5800.0,-2.33,11377900.0,29000.0,-87.76,-7.95,19600.0,1226800.0,47.32,91.61,94.03,91.17,12.34,3.0032431471855703e-06,7.82697105362086e-06,0.5692640692640694,0.7015883744508281,0.340226082161566,32.22
SUMATERA UTARA,2246.0,3867.0,6113.0,1720.0,4412.0,6132.0,36.74,28.05,91.0,295.0,5727.0,6113.0,97.0,245.0,1.59,2495.1,5.0,6108.0,6113.0,7.0,6125.0,6132.0,0.08,0.11,54.0,4.0,10.0,1.0,59.0,5.0,540.0,20.0,4857.0,2106.0,374.0,353.0,4928.0,2126.0,1298.66,16.6,1014.0,5099.0,6113.0,1056.0,5076.0,6132.0,16.59,17.22,29693.0,38507.0,8814.0,0.0,0.0,0.0,77.11,0.0,279.0,6113.0,5834.0,0,0,0,4.56,0.0,692.0,1541.0,3880.0,6113.0,692.0,1482.0,17.84,412.48,800.0,5313.0,6113.0,673.0,5459.0,6132.0,13.09,10.98,166.0,6113.0,5947.0,0,0,0,2.72,0.0,44308.0,81732.0,37424.0,0.0,0.0,0.0,54.21,0.0,30.58,-98.51,-28.57,5300.0,-3.98,2969300.0,27900.0,-88.68,18.87,16600.0,4430800.0,54.21,77.11,97.28,95.44,13.09,3.440528550484568e-06,6.588120706742763e-06,0.8037518037518038,0.8458938830686042,0.3609043286462641,40.21
.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,1.0,1.0,0.0,40.0
